tanggal,isu,tonality,berita_jakarta,link/page
12/1/2020,Wagub DKI Jakarta Positif Covid-19,NETRAL,Terkonfirmasi Positif COVID-19 Wagub Ariza Sampaikan Dalam Kondisi Baik,https://www.beritajakarta.id/read/85110/terkonfirmasi-positif-covid-19-wagub-ariza-sampaikan-dalam-kondisi-baik#.X8TAfaozbdc
12/1/2020,Wagub DKI Jakarta Positif Covid-19,NETRAL,Besok JIC Adakan Doa Bersama Virtual untuk Kesembuhan Gubernur dan Wagub,https://www.beritajakarta.id/read/85237/besok-jic-adakan-doa-bersama-virtual-untuk-kesembuhan-gubernur-dan-wagub#.X8jML6ozbdc
12/1/2020,Wagub DKI Jakarta Positif Covid-19,NETRAL,437 Orang Kontak Erat Gubernur dan Wagub Mengikuti Tes Usap PCR,https://www.beritajakarta.id/read/85214/437-orang-kontak-erat-gubernur-dan-wagub-mengikuti-tes-usap-pcr#.X8jLWKozbdc
12/2/2020,Gubernur DKI Jakarta Positif Covid-19,NETRAL,Gubernur Konfirmasi Positif COVID-19,https://www.beritajakarta.id/read/85154/gubernur-konfirmasi-positif-covid-19#.X8XppKozbdc
12/2/2020,Gubernur DKI Jakarta Positif Covid-19,NETRAL,Besok JIC Adakan Doa Bersama Virtual untuk Kesembuhan Gubernur dan Wagub,https://www.beritajakarta.id/read/85237/besok-jic-adakan-doa-bersama-virtual-untuk-kesembuhan-gubernur-dan-wagub#.X8jML6ozbdc
12/2/2020,Gubernur DKI Jakarta Positif Covid-19,NETRAL,437 Orang Kontak Erat Gubernur dan Wagub Mengikuti Tes Usap PCR,https://www.beritajakarta.id/read/85214/437-orang-kontak-erat-gubernur-dan-wagub-mengikuti-tes-usap-pcr#.X8jLWKozbdc
12/3/2020,Memimpin Jakarta Via Daring,NETRAL,Hadiri Rakerda BPN DKI Secara Virtual Gubernur Jelaskan Pentingnya Integrasi Data Administrasi Pertanahan,https://www.beritajakarta.id/read/85207/hadiri-rakerda-bpn-dki-secara-virtual-gubernur-jelaskan-pentingnya-integrasi-data-administrasi-pertanahan#.X8jKh6ozbdc
12/7/2020,Perpanjangan Status PSBB Transisi DKI Jakarta,NETRAL,Antisipasi Lonjakan Kasus Covid-19 Pemprov DKI Jakarta Perpanjang PSBB Masa Transisi Hingga 21 Desember,https://www.beritajakarta.id/read/85296/antisipasi-lonjakan-kasus-covid-19-pemprov-dki-jakarta-perpanjang-psbb-masa-transisi-hingga-21-desember#.X9BEQ-kzbdc
12/8/2020,Kebijakan Ganjil Genap di Masa PSBB Transisi,NETRAL,Sistem Ganjil Genap Masih Belum Diberlakukan,https://www.beritajakarta.id/read/85304/sistem-ganjil-genap-masih-belum-diberlakukan#.X9BEN-kzbdc
12/21/2020,Kasus Covid-19 Tinggi PSBB Transisi Jakarta Ditentukan Hari Ini,NETRAL,Antisipasi Lonjakan Kasus Akibat Libur Akhir Tahun Pemprov DKI Perpanjang Masa PSBB Transisi hingga 3 Januari 2021,https://www.beritajakarta.id/read/85603/antisipasi-lonjakan-kasus-akibat-libur-akhir-tahun-pemprov-dki-perpanjang-masa-psbb-transisi-hingga-3-januari-2021#.X-BHoOkzbUo
12/22/2020,PSBB Masa Transisi DKI Jakarta Diperpanjang,NETRAL,Antisipasi Lonjakan Kasus Akibat Libur Akhir Tahun Pemprov DKI Perpanjang Masa PSBB Transisi hingga 3 Januari 2021,https://www.beritajakarta.id/read/85603/antisipasi-lonjakan-kasus-akibat-libur-akhir-tahun-pemprov-dki-perpanjang-masa-psbb-transisi-hingga-3-januari-2021#.X-nc2ekzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Amankan Malam Tahun Baru Sudinhub Jaktim Kerahkan 230 Personel,https://www.beritajakarta.id/read/85750/amankan-malam-tahun-baru-sudinhub-jaktim-kerahkan-230-personel#.X-sKlekzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Warga Jaktim Diminta Tidak Berkerumun Saat Malam Pergantian Tahun,https://www.beritajakarta.id/read/85736/warga-jaktim-diminta-tidak-berkerumun-saat-malam-pergantian-tahun#.X-sNMOkzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,2.000 Personel Dishub DKI Disiagakan Pada Liburan Tahun Baru,https://www.beritajakarta.id/read/85729/2000-personel-dishub-dki-disiagakan-pada-liburan-tahun-baru#.X-sNSOkzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,350 Personel Gabungan Siap Amankan Perayaan Natal dan Tahun Baru di Cipayung,https://www.beritajakarta.id/read/85689/350-personel-gabungan-siap-amankan-perayaan-natal-dan-tahun-baru-di-cipayung#.X-sN0-kzbd
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,1.680 Petugas Dinas LH DKI Disiagakan Saat Natal 2020,https://www.beritajakarta.id/read/85683/1680-petugas-dinas-lh-dki-disiagakan-saat-natal-2020#.X-sN2ukzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Usaha Pariwisata di Kepulauan Seribu Diminta Taati Kebijakan Operasional Libur Nataru,https://www.beritajakarta.id/read/85668/usaha-pariwisata-di-kepulauan-seribu-diminta-taati-kebijakan-operasional-libur-nataru#.X-sN8Okzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Ini Destinasi Wisata yang Ditutup Oleh Disbud DKI Saat Natal dan Tahun Baru 2021,https://www.beritajakarta.id/read/85662/ini-destinasi-wisata-yang-ditutup-oleh-disbud-dki-saat-natal-dan-tahun-baru-2021#.X-sN9-kzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Ancol Tutup Saat Libur Natal dan Tahun Baru,https://www.beritajakarta.id/read/85631/ancol-tutup-saat-libur-natal-dan-tahun-baru#.X-sOIOkzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Pemkot Jaksel Bakal Antisipasi Kerumunan Saat Libur Nataru,https://www.beritajakarta.id/read/85623/pemkot-jaksel-bakal-antisipasi-kerumunan-saat-libur-nataru#.X-sOKekzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,Wagub Imbau Warga Tetap di Rumah Selama Libur Natal dan Tahun Baru,https://www.beritajakarta.id/read/85613/wagub-imbau-warga-tetap-di-rumah-selama-libur-natal-dan-tahun-baru#.X-sOPOkzbdc
12/30/2020,Perayaan Tahun Baru 2021 di Ibu Kota Ditiadakan,NETRAL,1.500 Personel Gabungan Siap Amankan Perayaan Natal dan Tahun Baru di Jaktim,https://www.beritajakarta.id/read/85606/1500-personel-gabungan-siap-amankan-perayaan-natal-dan-tahun-baru-di-jaktim#.X-sOP-kzbdc
11/2/2020,UMP DKI Jakarta 2021 Naik 3.27 Persen,NETRAL,Mayoritas Usaha Terdampak Covid-19 Pemprov DKI Tetapkan Kebijakan Asimetris Untuk UMP 2021,https://www.beritajakarta.id/read/84337/mayoritas-usaha-terdampak-covid-19-pemprov-dki-tetapkan-kebijakan-asimetris-untuk-ump-2021#.X57XvFMzbdc
11/3/2020,Pemprov DKI Susun Kriteria Perusahaan yang Tak Harus Naikkan UMP 2021,NETRAL,80 Pelaku Usaha Perhotelan Usulkan Penyesuaian UMP untuk 2021,https://www.beritajakarta.id/read/84459/80-pelaku-usaha-perhotelan-usulkan-penyesuaian-ump-untuk-2021#.X6N3fZMzbUo
11/4/2020,Keputusan Menaikan UMP 2021 Dikritik ,NEGATIF,80 Pelaku Usaha Perhotelan Usulkan Penyesuaian UMP untuk 2021,https://www.beritajakarta.id/read/84459/80-pelaku-usaha-perhotelan-usulkan-penyesuaian-ump-untuk-2021#.X6N3fZMzbUo
11/4/2020,Memantau Perkembangan Kasus COVID-19 Pascalibur Panjang,NETRAL,Pengurus RT dan RW di Jakpus Diminta Data Kesehatan Warga,https://www.beritajakarta.id/read/84407/pengurus-rt-dan-rw-di-jakpus-diminta-data-kesehatan-warga#.X6IZE5MzbUo
11/5/2020,Kesigapan Pemprov DKI Menghadapi Banjir di Tengah Pandemi Tahun 2020,NETRAL,Revitalisasi Tujuh Saluran di Koja Ditarget Rampung Desember,https://www.beritajakarta.id/read/84406/revitalisasi-tujuh-saluran-di-koja-ditarget-rampung-desember#.X6N4FpMzbUo
11/5/2020,Kesigapan Pemprov DKI Menghadapi Banjir di Tengah Pandemi Tahun 2020,NETRAL,765 Karung Lumpur Diangkut dari Matraman,https://www.beritajakarta.id/read/84398/765-karung-lumpur-diangkut-dari-matraman#.X6N4U5MzbUo
